Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety,Year,Month,Day,DayOfWeek
2003-06-30,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2550,2600,Bihar,Arhar Dal(Tur),2003,6,30,0
2003-06-30,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,615,520,535,Bihar,Paddy fine,2003,6,30,0
2003-06-30,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,1950,1860,1900,Bihar,Masoor Gola,2003,6,30,0
2003-06-30,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1810,1830,Bihar,Other,2003,6,30,0
2003-06-30,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6050,5680,5700,Bihar,Other,2003,6,30,0
2003-06-30,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,400,420,Bihar,Desi,2003,6,30,0
2003-06-30,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2100,1985,2030,Bihar,Desi (F.A.Q. Split),2003,6,30,0
2003-06-30,Wheat,1,Bhagalpur,FAQ,Bhagalpur,740,620,685,Bihar,Deshi,2003,6,30,0
2003-07-02,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2000,1880,1940,Bihar,Masoor Gola,2003,7,2,2
2003-07-02,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2560,2640,Bihar,Arhar Dal(Tur),2003,7,2,2
2003-07-02,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2120,1990,2050,Bihar,Desi (F.A.Q. Split),2003,7,2,2
2003-07-02,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1010,1020,Bihar,Medium,2003,7,2,2
2003-07-02,Onion,23,Bhagalpur,FAQ,Bhagalpur,685,610,670,Bihar,Pusa-Red,2003,7,2,2
2003-07-02,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6075,5685,5730,Bihar,Other,2003,7,2,2
2003-07-02,Wheat,1,Bhagalpur,FAQ,Bhagalpur,750,635,700,Bihar,Deshi,2003,7,2,2
2003-07-02,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,415,420,Bihar,Desi,2003,7,2,2
2003-07-02,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1820,1830,Bihar,Other,2003,7,2,2
2003-07-02,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,620,520,540,Bihar,Paddy fine,2003,7,2,2
2003-07-04,Rice,3,Bhagalpur,FAQ,Bhagalpur,1100,1000,1025,Bihar,Medium,2003,7,4,4
2003-07-04,Arhar (Tur/Red Gram)(Whole),49,Bhagalpur,FAQ,Bhagalpur,2700,2560,2650,Bihar,Arhar Dal(Tur),2003,7,4,4
2003-07-04,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2125,1990,2060,Bihar,Desi (F.A.Q. Split),2003,7,4,4
2003-07-04,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,410,420,Bihar,Desi,2003,7,4,4
2003-07-04,Big Gram,113,Bhagalpur,FAQ,Bhagalpur,1885,1820,1830,Bihar,Other,2003,7,4,4
2003-07-04,Masur Dal,259,Bhagalpur,FAQ,Bhagalpur,2015,1880,1960,Bihar,Masoor Gola,2003,7,4,4
2003-07-04,Wheat,1,Bhagalpur,FAQ,Bhagalpur,760,640,700,Bihar,Deshi,2003,7,4,4
2003-07-04,Mustard Oil,324,Bhagalpur,FAQ,Bhagalpur,6060,5690,5730,Bihar,Other,2003,7,4,4
2003-07-04,Paddy(Dhan)(Common),2,Bhagalpur,FAQ,Bhagalpur,625,525,540,Bihar,Paddy fine,2003,7,4,4
2003-07-04,Onion,23,Bhagalpur,FAQ,Bhagalpur,700,625,685,Bihar,Pusa-Red,2003,7,4,4
2003-07-05,Potato,24,Bhagalpur,FAQ,Bhagalpur,480,410,420,Bihar,Desi,2003,7,5,5
2003-07-05,Bengal Gram(Gram)(Whole),6,Bhagalpur,FAQ,Bhagalpur,2125,1990,2050,Bihar,Desi (F.A.Q. Split),2003,7,5,5
